gene	G1	G2	G3	G4	N1	N2	N3	N4	N5
FBgn0031208	1	0	82	0	0	0	0	1	20
FBgn0002121	1045	1149	817	169	1404	173	1082	883	1740
FBgn0031209	0	0	0	0	0	0	0	2	0
FBgn0263584	0	0	0	0	0	0	0	0	0
FBgn0051973	1	0	693	13	67	6	67	36	8
FBgn0267987	0	0	0	0	0	0	0	0	0
FBgn0266878	0	0	0	0	0	0	0	1	1
FBgn0266879	0	0	0	0	0	0	0	0	0
FBgn0067779	18	4	712	99	1011	7	78	200	101
FBgn0266322	0	0	0	0	0	0	0	0	0
FBgn0031213	39	432	483	10	340	85	582	3	528
FBgn0031214	0	0	0	4	3	0	1	3	171
FBgn0002931	573	0	0	0	2	8	92	0	5
FBgn0031216	191	268	7	5	2751	101	881	471	1008
FBgn0031217	2	211	836	101	925	69	555	6	49
FBgn0026787	186	228	0	61	1023	0	0	390	314
FBgn0005278	1012	23	362	66	6935	550	3495	1673	5505
FBgn0031228	310	1047	594	12	742	32	421	174	265
FBgn0031219	0	0	0	0	0	0	0	0	71
FBgn0031220	209	11	231	65	0	0	0	0	4
FBgn0025683	335	331	188	175	1326	53	312	316	485
FBgn0266304	0	0	0	0	0	0	0	0	0
FBgn0001142	18	1267	869	27	2207	13	77	793	983
FBgn0265074	0	0	0	0	0	0	0	1	0
FBgn0265075	0	0	0	0	0	0	0	0	0
FBgn0051975	0	0	0	0	0	0	0	0	0
FBgn0051976	0	0	0	0	0	0	0	0	0
FBgn0051974	0	0	0	0	0	0	0	0	0
FBgn0031224	165	1	218	15	198	9	76	1	303
FBgn0259818	2	0	5	3	3	65	518	88	0
FBgn0031227	0	0	0	0	5	1	0	37	0
FBgn0031229	479	734	114	25	210	19	215	232	550
FBgn0053635	1	0	167	12	193	10	124	8	0
FBgn0016977	3949	2075	6497	480	12723	625	4269	2309	6051
FBgn0031231	0	0	0	68	190	0	1	69	102
FBgn0031232	0	0	0	0	0	0	0	0	0
FBgn0031233	2	290	251	3	309	0	1	252	1
FBgn0266557	3224	1930	627	428	8558	929	6935	3459	7819
FBgn0265151	1	0	0	0	0	0	0	0	0
FBgn0265153	0	0	0	12	0	5	28	0	0
FBgn0265152	0	0	0	0	17	0	0	0	0
FBgn0263465	0	0	7	0	0	0	0	0	0
FBgn0031235	0	0	96	0	0	0	0	6	0
FBgn0262252	0	0	0	0	0	0	0	0	0
FBgn0265149	9	1	7	40	0	0	0	63	50
FBgn0283652	129	0	109	7	6	9	68	66	0
FBgn0031238	430	655	1	0	627	49	287	5	8
FBgn0031239	20	36	0	0	231	0	0	38	76
FBgn0265150	0	0	0	0	0	0	0	0	0
FBgn0031240	0	0	0	0	0	0	0	28	302
FBgn0086912	0	0	0	0	286	0	1	169	0
FBgn0086856	154	244	0	6	0	18	89	2	2
FBgn0086855	539	15	71	33	1680	61	473	583	618
FBgn0003444	0	1	368	86	324	71	432	102	248
FBgn0031244	404	0	0	0	171	0	0	0	293
FBgn0031245	424	1982	857	241	2350	302	2658	1223	2511
FBgn0267995	0	0	0	0	0	0	0	0	0
FBgn0267996	0	0	0	0	0	0	0	0	0
FBgn0025686	0	0	0	0	0	1	0	0	0
FBgn0031247	179	0	35	1	0	46	282	0	0
FBgn0017457	71	0	67	0	924	57	300	163	608
FBgn0024352	737	306	1831	240	6562	230	1720	1407	1754
FBgn0020622	805	741	1523	1	1288	53	265	541	8
FBgn0004611	102	549	119	81	4060	153	911	1871	1952
FBgn0263872	0	0	0	0	0	0	0	0	0
FBgn0031248	0	0	0	0	0	0	0	0	0
FBgn0031249	0	0	0	0	0	0	0	0	0
FBgn0053127	0	0	0	0	0	0	0	0	0
FBgn0264086	0	0	0	18	59	0	0	0	1
FBgn0051921	0	0	0	2	200	1	2	0	0
FBgn0031250	1	0	79	0	51	0	0	25	33
FBgn0266907	0	0	0	0	0	0	0	0	0
FBgn0266906	0	0	0	0	0	0	0	0	0
FBgn0000061	0	0	0	0	0	0	0	0	0
FBgn0263871	0	0	0	0	0	0	0	0	0
FBgn0031251	0	0	0	0	1	0	0	0	0
FBgn0003278	158	0	1	106	0	67	541	2	116
FBgn0264855	3966	4610	657	427	3754	86	517	611	2058
FBgn0263933	175	514	557	120	3115	145	1365	728	1624
FBgn0031252	0	0	1	0	146	0	0	0	0
FBgn0002593	5025	5228	3143	355	4658	670	3811	2267	4758
FBgn0031253	143	100	11	26	112	47	260	96	89
FBgn0031254	0	0	0	0	0	4	29	1	0
FBgn0031255	0	0	0	0	0	3	38	0	0
FBgn0004583	80	4	1	5	512	0	0	1	0
FBgn0263870	0	0	0	0	0	0	0	0	0
FBgn0015924	1072	1578	1486	59	617	111	653	14	379
FBgn0031256	1032	792	1333	110	410	46	372	98	503
FBgn0262510	0	0	0	0	0	0	0	0	0
FBgn0031257	4	1	1	0	3417	1	17	185	779
FBgn0031258	325	50	56	0	700	0	1	250	3
FBgn0027592	319	0	265	39	1608	1	0	373	662
FBgn0003963	18	1	51	0	45	0	0	1	7
FBgn0043364	1066	2724	1255	230	176	25	145	122	709
FBgn0267991	38	0	0	0	0	0	0	0	0
FBgn0267992	0	0	25	0	0	0	0	0	0
FBgn0010602	521	563	753	95	1156	129	1045	499	1592
FBgn0031260	904	1883	502	46	2160	127	646	532	982
FBgn0005660	0	4	0	0	12	19	78	2	1
