"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"FBgn0004516" 2445.0127349626 11.3055012164561 0.718581293508747 15.3652563048835 2.79929424783677e-53 2.32565366110278e-49
"FBgn0041182" 1444.1669406934 -11.3929062210521 0.851941936876475 -13.1683450411697 1.33491804198186e-39 5.54524954639265e-36
"FBgn0040281" 605.198447313852 8.26614056256357 0.625015468986574 13.1093610681298 2.91039954633725e-39 8.05986647698994e-36
"FBgn0039911" 534.602856601044 8.29910361388444 0.63702189125067 12.8930285200933 4.92702507978251e-38 1.02334310907083e-34
"FBgn0035092" 2197.13039215466 8.61513741970827 0.676423409522299 12.6892862732396 6.78008133413921e-37 1.12657831448057e-33
"FBgn0053056" 598.770678139422 -10.8676918278728 0.851373377301564 -12.4388604267621 1.60781359578131e-35 1.90824505053588e-32
"FBgn0260746" 1209.88837631127 -13.2690889250071 1.0362636994325 -12.4427098077196 1.53216287113572e-35 1.90824505053588e-32
"FBgn0001145" 6894.95918122051 -5.33466102971224 0.439026234317195 -12.1506992388014 5.6877052644827e-34 5.90668191716529e-31
"FBgn0031461" 721.999790396393 -11.3046780193552 0.903358469091939 -12.138925748807 6.56826952560156e-34 6.0632425798553e-31
"FBgn0032840" 1018.96359963614 11.4970449595289 0.902908389408217 11.9570962423729 5.96101294452924e-33 4.9524095543149e-30
"FBgn0013767" 719.820890046402 10.6069043648134 0.867927606378306 11.6929608425632 1.38473403099007e-31 1.04585184813323e-28
"FBgn0044047" 190.561491800298 -6.81157162909114 0.588396658759406 -11.5422748420999 8.07607227318744e-31 5.59133403713677e-28
"FBgn0031306" 594.89840246879 8.9519732506571 0.774925127320288 11.3981713664526 4.26993620725293e-30 2.72881769306595e-27
"FBgn0027491" 426.619954079689 8.88042993519083 0.76890865403752 11.3400545128766 8.30926859408749e-30 4.93095739140563e-27
"FBgn0039678" 5578.6236459668 -4.67034854121892 0.421330854337815 -11.084408882364 1.49333496312075e-28 8.2710845824048e-26
"FBgn0014427" 425.31551607428 -11.2311353167114 0.979182218022069 -11.0365293538959 2.54681293333569e-28 1.32243261563456e-25
"FBgn0003326" 308.352718988689 8.28395062708777 0.743433069353729 10.97027552476 5.31103076394387e-28 2.5955319756968e-25
"FBgn0004118" 427.236478076792 8.58659441975589 0.775515846421491 10.9184089822512 9.41302375882584e-28 4.3446334104625e-25
"FBgn0002526" 471.099867401932 -10.6047244591404 0.953144888076977 -10.849264504336 2.01036505997524e-27 8.79058574646018e-25
"FBgn0000244" 257.189535905477 -9.31763253408432 0.847185531018726 -10.8149246796448 2.92532879511993e-27 1.18293139859845e-24
"FBgn0037913" 5776.0968079817 -4.33576196798003 0.400970113393809 -10.812917115149 2.9900769584217e-27 1.18293139859845e-24
"FBgn0000346" 460.804491499533 8.83502841366583 0.805262391259257 10.8001008474024 3.43825722523731e-27 1.29841095578507e-24
"FBgn0033268" 11511.5112264445 -5.40927571180214 0.502025800848651 -10.774471436997 4.54384338288253e-27 1.64131525326035e-24
"FBgn0261800" 1301.00968280441 -11.1100433950015 1.01841177220014 -10.764455068486 5.06603677277755e-27 1.75369306284316e-24
"FBgn0028523" 573.685588293869 -11.7765296364293 1.06019732492632 -10.6844136860102 1.20407457522535e-26 4.00138062838888e-24
"FBgn0029896" 7252.84617645075 -10.9145060090793 1.02034692910238 -10.6563719338047 1.62825930925598e-26 5.20291474665335e-24
"FBgn0039770" 211.049817296217 8.6099008901105 0.793394437071967 10.5215635610561 6.87235367406021e-26 2.11464867867008e-23
"FBgn0034709" 505.11665580682 -8.64030127659632 0.818432234952326 -10.4992650143647 8.70552952686763e-26 2.58305497532915e-23
"FBgn0002868" 1330.80239461232 -6.138289431905 0.592088722499043 -10.3631423949494 3.64777094027084e-25 1.04502348178518e-22
"FBgn0284408" 1820.4059726586 -4.26918459982641 0.412298943563248 -10.3543164311831 4.00033814585888e-25 1.10782697719319e-22
"FBgn0031971" 727.010335024803 -5.43440187484931 0.52944795382499 -10.2614845064918 1.0507875644817e-24 2.7281072142856e-22
"FBgn0038349" 449.731812720693 -10.2917978338703 0.982650969327855 -10.2640539114613 1.0231897109077e-24 2.7281072142856e-22
"FBgn0086913" 218.71101167256 7.27518451121655 0.708316389393389 10.1593760104639 3.00996623237546e-24 7.5778180177501e-22
"FBgn0032221" 249.812771228141 8.79409848336081 0.84148457353877 10.1488000390483 3.35462659071048e-24 7.96292506160648e-22
"FBgn0050203" 754.33163031208 -11.4789289925331 1.09413315705524 -10.1509806946985 3.28050110189486e-24 7.96292506160648e-22
"FBgn0000071" 3899.88138898035 -3.77044973249276 0.374548096731988 -10.0664730850339 7.77150855787385e-24 1.79349147496711e-21
"FBgn0034935" 389.422754712521 11.3100339187816 1.1249072234777 10.0533795846259 8.87697602384622e-24 1.9044710325091e-21
"FBgn0039816" 325.106251523401 7.9261948015669 0.780241518107459 10.0526814920951 8.94010234326613e-24 1.9044710325091e-21
"FBgn0030158" 3885.89728433744 -6.32243601105358 0.628571131109361 -10.0563107437781 8.61670355607379e-24 1.9044710325091e-21
"FBgn0036935" 304.670772525705 7.3663236519146 0.737025708842808 9.91041312474732 3.75091947198027e-23 7.79065974330303e-21
"FBgn0033926" 680.9780175872 -4.65458431932667 0.471029362496112 -9.8800211517042 5.08221812149699e-23 1.02983093057066e-20
"FBgn0000299" 211.758704755781 -8.7052374913504 0.872488347818247 -9.86126164867015 6.12745515306329e-23 1.21206898599166e-20
"FBgn0038532" 340.366240231809 8.09192785544624 0.813605708434157 9.83731633628901 7.77572944278091e-23 1.50234326071218e-20
"FBgn0031424" 629.739394593918 5.51235135510551 0.56074913955627 9.81952935914061 9.27756656550349e-23 1.75177325059552e-20
"FBgn0028400" 540.383723956556 9.13490011030616 0.915431142406531 9.81691499254482 9.52127472836729e-23 1.75783889873945e-20
"FBgn0000108" 2522.13837037989 5.59099544842112 0.570484668257231 9.79691290983945 1.16079089389957e-22 2.09648929272122e-20
